Day,Time Slot,Subject,Teacher,Room/Lab
Monday,9:15-10:15,Database Applications,Prof. D,R103
Monday,10:15-11:15,Machine Learning,Dr. C,Lab201
Monday,Tea Break (11:15-11:30),Tea Break,-,-
Monday,11:30-12:30,Probability & Random Processes (Lab),Prof. F,Lab203
Monday,12:30-1:30,Probability & Random Processes (Lab),Prof. F,Lab203
Monday,Lunch Break (1:30-2:00),Lunch Break,-,-
Monday,2:00-3:00,Computer Networks,Dr. A,R113
Monday,3:00-4:00,Data Science,Prof. B,Lab209
Tuesday,9:15-10:15,Database Applications,Dr. E,Lab208
Tuesday,10:15-11:15,Machine Learning,Prof. B,R101
Tuesday,Tea Break (11:15-11:30),Tea Break,-,-
Tuesday,11:30-12:30,Database Applications (Lab),Prof. F,R105
Tuesday,12:30-1:30,Database Applications (Lab),Prof. F,R105
Tuesday,Lunch Break (1:30-2:00),Lunch Break,-,-
Tuesday,2:00-3:00,Probability & Random Processes,Dr. A,Lab201
Tuesday,3:00-4:00,Computer Networks,Dr. G,R104
Wednesday,9:15-10:15,Machine Learning,Dr. C,Lab202
Wednesday,10:15-11:15,Computer Networks,Prof. B,R102
Wednesday,Tea Break (11:15-11:30),Tea Break,-,-
Wednesday,11:30-12:30,Data Science (Lab),Prof. B,R103
Wednesday,12:30-1:30,Data Science (Lab),Prof. B,R103
Wednesday,Lunch Break (1:30-2:00),Lunch Break,-,-
Wednesday,2:00-3:00,Probability & Random Processes,Dr. A,R112
Wednesday,3:00-4:00,Database Applications,Dr. E,R107
Thursday,9:15-10:15,Computer Networks,Dr. A,Lab201
Thursday,10:15-11:15,Database Applications,Dr. E,Lab208
Thursday,Tea Break (11:15-11:30),Tea Break,-,-
Thursday,11:30-12:30,Computer Networks (Lab),Prof. F,R108
Thursday,12:30-1:30,Computer Networks (Lab),Prof. F,R108
Thursday,Lunch Break (1:30-2:00),Lunch Break,-,-
Thursday,2:00-3:00,Data Science,Dr. G,R101
Thursday,3:00-4:00,Probability & Random Processes,Prof. B,Lab205
Friday,9:15-10:15,Database Applications,Dr. C,R106
Friday,10:15-11:15,Data Science,Dr. A,Lab207
Friday,Tea Break (11:15-11:30),Tea Break,-,-
Friday,11:30-12:30,Computer Networks,Prof. F,R103
Friday,12:30-1:30,Machine Learning,Dr. G,Lab208
Friday,Lunch Break (1:30-2:00),Lunch Break,-,-
Friday,2:00-3:00,Probability & Random Processes,Prof. B,R104
