Day,Time Slot,Subject,Teacher,Room/Lab
Monday,9:15-10:15,AI Principles,Prof. B,Lab202
Monday,10:15-11:15,Software Engineering,Dr. A,R108
Monday,Tea Break (11:15-11:30),Tea Break,-,-
Monday,11:30-12:30,Computer Networks (Lab),Dr. E,Lab206
Monday,12:30-1:30,Computer Networks (Lab),Dr. E,Lab206
Monday,Lunch Break (1:30-2:00),Lunch Break,-,-
Monday,2:00-3:00,Computer Graphics & Animation,Prof. D,R113
Monday,3:00-4:00,Web Technologies,Dr. G,Lab208
Tuesday,9:15-10:15,Web Technologies,Dr. E,R105
Tuesday,10:15-11:15,Computer Graphics & Animation,Prof. F,R112
Tuesday,Tea Break (11:15-11:30),Tea Break,-,-
Tuesday,11:30-12:30,Computer Networks,Prof. D,R107
Tuesday,12:30-1:30,Software Engineering,Prof. B,R103
Tuesday,Lunch Break (1:30-2:00),Lunch Break,-,-
Tuesday,2:00-3:00,AI Principles,Dr. G,R109
Wednesday,9:15-10:15,Computer Graphics & Animation,Prof. B,R103
Wednesday,10:15-11:15,Software Engineering,Dr. E,Lab205
Wednesday,Tea Break (11:15-11:30),Tea Break,-,-
Wednesday,11:30-12:30,Web Technologies (Lab),Dr. G,R105
Wednesday,12:30-1:30,Web Technologies (Lab),Dr. G,R105
Wednesday,Lunch Break (1:30-2:00),Lunch Break,-,-
Wednesday,2:00-3:00,Computer Networks,Prof. F,R112
Wednesday,3:00-4:00,AI Principles,Dr. C,R113
Thursday,9:15-10:15,Computer Networks,Dr. G,R101
Thursday,10:15-11:15,Web Technologies,Prof. B,R112
Thursday,Tea Break (11:15-11:30),Tea Break,-,-
Thursday,11:30-12:30,Software Engineering (Lab),Prof. B,Lab209
Thursday,12:30-1:30,Software Engineering (Lab),Prof. B,Lab209
Thursday,Lunch Break (1:30-2:00),Lunch Break,-,-
Thursday,2:00-3:00,AI Principles,Dr. E,Lab209
Thursday,3:00-4:00,Computer Graphics & Animation,Prof. D,Lab202
Friday,9:15-10:15,Software Engineering,Dr. G,R104
Friday,10:15-11:15,Web Technologies,Dr. A,R101
Friday,Tea Break (11:15-11:30),Tea Break,-,-
Friday,11:30-12:30,Computer Graphics & Animation (Lab),Prof. F,R109
Friday,12:30-1:30,Computer Graphics & Animation (Lab),Prof. F,R109
Friday,Lunch Break (1:30-2:00),Lunch Break,-,-
Friday,2:00-3:00,Computer Networks,Dr. E,R103
Friday,3:00-4:00,AI Principles,Prof. F,R107
